epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.443117,0.795014,0.401314,0.850649
2,0.344149,0.851848,0.359739,0.868984
1,0.441567,0.799121,0.396728,0.83919
2,0.340692,0.850416,0.368985,0.864782
3,0.313794,0.869806,0.350898,0.866692
4,0.309117,0.8678,0.326659,0.868984
5,0.298509,0.872385,0.317436,0.87204
1,0.434842,0.798453,0.402062,0.847976
2,0.344344,0.84946,0.345473,0.867456
3,0.316936,0.866272,0.344099,0.875859
4,0.309414,0.8678,0.316201,0.876241
5,0.30345,0.87057,0.31441,0.878533
6,0.292593,0.877734,0.305456,0.877005
7,0.289798,0.877543,0.311644,0.881207
8,0.28989,0.876301,0.297254,0.878151
1,0.445417,0.789951,0.412144,0.848739
2,0.347978,0.84478,0.364585,0.863636
3,0.320826,0.858535,0.341887,0.868602
4,0.308325,0.870284,0.332605,0.869366
5,0.298686,0.870379,0.321461,0.873186
6,0.294039,0.875919,0.308871,0.875095
7,0.290788,0.880504,0.304273,0.874714
8,0.287682,0.878594,0.312267,0.881589
9,0.288538,0.877352,0.296711,0.880825
10,0.286376,0.875537,0.29586,0.878915

1,0.447923,0.789856,0.405953,0.837662
2,0.34687,0.846499,0.361192,0.871658
3,0.318153,0.863502,0.339517,0.871658
4,0.307226,0.865508,0.328726,0.878533
5,0.297123,0.871525,0.317426,0.873568
6,0.2967,0.872863,0.310644,0.878915
7,0.292062,0.878689,0.320465,0.875477
8,0.290361,0.876875,0.30304,0.879297
9,0.292579,0.875251,0.295723,0.880825
10,0.286055,0.876588,0.292859,0.881207
11,0.282763,0.881746,0.29451,0.883499
12,0.285369,0.876875,0.29235,0.887701
13,0.280545,0.881651,0.289031,0.876623
14,0.279068,0.88251,0.289031,0.885027
15,0.282345,0.881269,0.284919,0.882353
1,0.436734,0.792244,0.412423,0.846066
2,0.344483,0.844971,0.360937,0.8644
3,0.314946,0.867991,0.336374,0.867456
4,0.306628,0.866845,0.325776,0.875859
5,0.302082,0.872481,0.313081,0.874332
6,0.294825,0.874582,0.314244,0.875095
7,0.293377,0.874773,0.305744,0.87013
8,0.285383,0.880791,0.304022,0.875095
9,0.293732,0.877257,0.297361,0.876241
10,0.286673,0.878403,0.298744,0.875859
11,0.280458,0.884707,0.307235,0.883117
12,0.280971,0.881364,0.300376,0.883881
13,0.282,0.882606,0.295328,0.885791
14,0.28157,0.880313,0.289763,0.886555
15,0.275915,0.883657,0.284384,0.878915
16,0.272878,0.889006,0.284146,0.887701
17,0.275081,0.883752,0.283814,0.889228
18,0.277454,0.885758,0.290518,0.888464
